Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.656417,8.348,16.674,0.444,1.113,20.012
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.666183,9.766,0.000,0.404,1.409,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.673501,7.318,16.675,0.428,1.110,19.602
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.681878,8.377,0.000,0.369,1.089,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.690239,8.361,16.648,0.464,1.116,19.512
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.700012,9.773,0.000,0.413,1.431,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.707518,7.506,16.665,0.547,1.189,18.899
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.715843,8.325,0.000,0.398,1.117,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.724171,8.329,16.663,0.458,1.111,18.909
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.734097,9.926,0.000,0.433,1.405,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.741748,7.651,16.700,0.393,1.112,18.032
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.750036,8.288,16.621,0.415,1.133,26.365
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.759853,9.817,0.000,0.412,1.730,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.766686,6.833,0.000,0.408,1.135,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.775041,8.355,16.721,0.390,1.019,18.081
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.783700,8.659,16.640,0.398,1.100,26.062
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.793223,9.523,0.000,0.419,2.741,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.800460,7.237,0.000,0.409,1.136,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.808809,8.348,16.696,0.429,1.113,17.649
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.817393,8.584,16.625,0.403,1.137,25.689
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.826934,9.541,0.000,0.884,2.952,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.833754,6.820,16.707,0.398,1.076,26.035
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.842170,8.416,0.000,0.439,1.090,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.850385,8.214,16.630,0.400,1.091,26.035
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.860278,9.894,0.000,0.664,2.811,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.867057,6.779,16.685,0.638,1.287,26.046
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.875526,8.469,0.000,0.431,1.092,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.883817,8.291,16.656,0.387,1.101,25.943
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.893826,10.009,0.000,0.399,2.014,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.901216,7.390,16.666,0.414,1.186,25.209
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.909855,8.638,0.000,0.406,2.295,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.918196,8.341,16.676,0.378,1.073,24.906
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.928570,10.374,0.000,0.478,1.575,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.935023,6.453,16.675,0.473,1.199,24.755
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.943372,8.349,0.000,0.462,1.731,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.951540,8.168,16.665,0.376,1.048,24.902
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.961612,10.073,0.000,0.373,1.978,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.968172,6.559,16.672,0.432,1.105,24.942
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.976667,8.496,0.000,0.395,2.334,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,14.985090,8.423,16.645,0.626,1.320,24.668
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,14.994770,9.680,0.000,0.496,1.713,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,15.002678,7.908,16.682,0.390,1.054,23.763
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,15.011110,8.432,0.000,0.376,1.896,0.000
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,0,15.019512,8.402,16.660,0.379,1.147,23.588
csgo.exe,27396,0x000000001AB0B4C0,D3D9,-1,0,0,Composed: Copy with GPU GDI,1,15.029650,10.138,0.000,0.456,1.407,0.000
